iso_code,family,language_name
axb,guai1249,Abipon
ash,,Aewa
tpx,otom1299,Acatepec Me'phaa
aca,araw1281,Achagua
guq,tupi1275,Aché
acr,maya1287,Achi
acc,book1242,"Achi', Cubulco"
acv,pala1350,Achumawi
acu,jiva1245,Achuar-Shiwiar
acs,nucl1710,Acroá
xad,,Adai
afs,indo1319,Afro-Seminole Creole
avo,unat1236,Agavotaguerra
aga,unat1236,Aguano
agu,maya1287,Aguacateco
agr,jiva1245,Aguaruna
aht,atha1245,Ahtena
tba,,Aikanã
cpc,araw1281,Ajyíninka Apurucayali
ake,cari1283,Akawaio-Ingariko
aqz,tupi1275,Akuntsu
ako,cari1283,Akurio
akz,musk1252,Alabama
mim,otom1299,Alacatlatzala Mixtec
apv,unat1236,Alapmunte
lsc,sign1238,Albarradas Sign Language
xta,otom1299,Alcozauca Mixtec
ale,eski1264,Aleut
alq,algi1248,Algonquin
zaq,otom1299,Aloápam Zapotec
aes,,Alsea-Yaquina
amc,pano1259,Amahuaca
ama,tupi1275,Amanayé
amr,hara1260,Amarakaeri
zpo,otom1299,Amatlán Zapotec
qva,quec1387,Ambo-Pasco Quechua
ase,sign1238,American Sign Language
mbz,otom1299,Amoltepec Mixtec
adw,tupi1275,Amundava
aan,tupi1275,Anambé
ana,,Andaqui
anb,zapa1251,Andoa
ano,,Andoque
aqt,leng1261,Angaité
tnd,chib1249,Angosturas Tunebo
ans,choc1280,Anserma
aig,indo1319,Antigua and Barbuda Creole English
xap,musk1252,Apalachee
apy,cari1283,Apalaí
mip,otom1299,Apasco-Apoala Mixtec
api,tupi1275,Apiaká
apn,nucl1710,Apinayé
apu,araw1281,Apurinã
arl,zapa1251,Arabela
xrt,uncl1493,Aranama
aro,pano1259,Araona
arp,algi1248,Arapaho
arj,tuca1253,Arapaso
awt,tupi1275,Araweté
arw,araw1281,Lokono
qxu,quec1387,Arequipa-La Unión Quechua
aed,sign1238,Argentine Sign Language
arh,chib1249,Arhuaco
ari,cadd1255,Arikara
ait,tupi1275,Arikem
ark,nucl1710,Arikapú
aoh,unat1236,Arma
arx,tupi1275,Aruá (Rondonia State)
aru,araw1282,Arawá (Amazonas State)
atx,,Arutani
cni,araw1281,Asháninka
prq,araw1281,Ashéninka Perené
cjo,araw1281,Ashéninka Pajonal
asb,siou1252,Assiniboine
zoo,otom1299,Asunción Mixtepec Zapotec
aqp,,Atakapa
mib,otom1299,Atatláhuca Mixtec
atj,algi1248,Atikamekw
aox,araw1281,Atorada
atc,pano1259,Atsahuaca
atw,pala1350,Atsugewi
ocu,otom1299,Atzingo Matlatzinca
aux,tupi1275,Aurê y Aurá
avs,zapa1251,Aushiri
avv,tupi1275,Avá-Canoeiro
kwi,barb1265,Awa-Cuaiquer
awe,tupi1275,Awetí
quy,quec1387,Ayacucho Quechua
vmy,otom1299,Ayautla Mazatec
zaf,otom1299,Ayoquesco Zapotec
ayo,zamu1243,Ayoreo
miy,otom1299,Ayutla Mixtec
tpc,otom1299,Azoyú Me'phaa
bcr,atha1245,Witsuwit'en-Babine
bah,indo1319,Bahamas Creole English
bjs,indo1319,Bajan
bkq,cari1283,Bakairí
bwi,araw1281,Baniwa do Icana
bsn,tuca1253,Barasana-Eduria
bpb,unat1236,Barbacoas
boi,chum1262,Barbareño
bae,araw1281,Baré
mot,chib1249,Barí
tbn,chib1249,Barro Negro Tunebo
brg,araw1281,Baure
